Topic,Count,Theme,Keywords
0,98,Algorithm and NLP Tasks,0_aspect_sentiment_aspectbased_absa
1,98,Algorithm and NLP Tasks,1_ranking_retrieval_query_document
2,89,Algorithm and NLP Tasks,2_visual_image_vqa_captioning
3,82,Medical and Engineering Applications,3_protein_proteins_molecular_dna
4,80,Social and Humanitarian Applications,4_hate_speech_offensive_hateful
5,75,Algorithm and NLP Tasks,5_summarization_summary_abstractive_extractive
6,75,Social and Humanitarian Applications,6_legal_law_case_judicial
7,75,Algorithm and NLP Tasks,7_relation_extraction_entity_relations
8,75,Social and Humanitarian Applications,8_fake_news_detection_multimodal
9,67,Algorithm and NLP Tasks,9_asr_speech_spoken_acoustic
10,66,Social and Humanitarian Applications,10_cyberbullying_abusive_comments_social
11,62,Medical and Engineering Applications,11_disaster_disasters_events_social
12,61,Algorithm and NLP Tasks,12_adversarial_attacks_attack_examples
13,57,Medical and Engineering Applications,13_patients_medical_records_diagnosis
14,57,Medical and Engineering Applications,14_clinical_medical_health_eligibility
15,55,Algorithm and NLP Tasks,15_sentiment_analysis_migrant_classification
16,55,Algorithm and NLP Tasks,16_pruning_inference_glue_compression
17,53,Social and Humanitarian Applications,17_covid19_pandemic_public_tweets
18,52,Algorithm and NLP Tasks,18_intent_slot_filling_intents
19,52,Social and Humanitarian Applications,19_threat_vulnerability_log_cybersecurity
20,50,Remove,20_nan___
21,50,Social and Humanitarian Applications,21_depression_mental_suicide_social
22,50,Algorithm and NLP Tasks,22_crosslingual_multilingual_languages_mbert
23,49,Medical and Engineering Applications,23_medical_chinese_electronic_records
24,49,Social and Humanitarian Applications,24_reviews_review_customer_reputation
25,48,Algorithm and NLP Tasks,25_translation_nmt_machine_bleu
26,48,Medical and Engineering Applications,26_radiology_reports_spatial_report
27,47,Algorithm and NLP Tasks,27_named_recognition_entity_chinese
28,47,Social and Humanitarian Applications,28_emotion_emotions_empathy_empathetic
29,47,Algorithm and NLP Tasks,29_qa_question_questions_answering
30,46,Algorithm and NLP Tasks,30_answer_question_questions_reading
31,46,Algorithm and NLP Tasks,31_brain_heads_attention_fmri
32,45,Medical and Engineering Applications,32_correction_error_spelling_grammatical
33,44,Medical and Engineering Applications,33_bug_software_code_report
34,44,Algorithm and NLP Tasks,34_ner_named_entity_nested
35,44,Algorithm and NLP Tasks,35_embeddings_static_words_word
36,43,Algorithm and NLP Tasks,36_dialogue_persona_responses_dialog
37,42,Social and Humanitarian Applications,37_stock_market_price_financial
38,42,Remove,38_stevia_rebaudiana_plant_plants
39,41,Algorithm and NLP Tasks,39_response_dialogue_conversation_multiturn
40,41,Algorithm and NLP Tasks,40_event_causality_causal_temporal
41,41,Algorithm and NLP Tasks,41_recommendation_item_sequential_recommender
42,40,Remove,42_constellation_family_justice_literary
43,39,Algorithm and NLP Tasks,43_knowledge_graph_graphs_entities
44,39,Algorithm and NLP Tasks,44_distillation_student_teacher_kd
45,38,Medical and Engineering Applications,45_relation_biomedical_extraction_relations
46,38,Social and Humanitarian Applications,46_languages_morphological_multilingual_tagging
47,38,Algorithm and NLP Tasks,47_linking_entity_entities_graph
48,38,Remove,48_stevia_rebaudiana_antioxidant_leaves
49,38,Algorithm and NLP Tasks,49_linguistic_berts_syntactic_grammar
50,37,Social and Humanitarian Applications,50_citation_scientific_papers_cited
51,37,Critical studies,51_ai_gpt3_intelligence_artificial
52,37,Social and Humanitarian Applications,52_sarcasm_humor_irony_sarcastic
53,37,Algorithm and NLP Tasks,53_emoji_emojis_sentiment_tweets
54,37,Algorithm and NLP Tasks,54_clustering_topic_topics_kmeans
55,36,Social and Humanitarian Applications,55_covid19_pandemic_tweets_social
56,36,Medical and Engineering Applications,56_biomedical_pico_ontology_negation
57,36,Medical and Engineering Applications,57_clinical_ner_medical_biomedical
58,36,Infrastructure,58_memory_parallelism_gpu_distributed
59,35,Algorithm and NLP Tasks,59_equipment_fault_power_knowledge
60,35,Critical studies,60_bias_gender_biases_sexism
61,35,Algorithm and NLP Tasks,61_chinese_segmentation_character_characters
62,34,Social and Humanitarian Applications,62_scientific_science_materials_papers
63,34,Social and Humanitarian Applications,63_reviews_sentiment_tourism_analysis
64,33,Medical and Engineering Applications,64_ad_alzheimers_dementia_speech
65,32,Algorithm and NLP Tasks,65_sentiment_analysis_software_tools
66,32,Medical and Engineering Applications,66_accident_construction_defect_hazard
67,32,Algorithm and NLP Tasks,67_code_codebert_program_source
68,32,Social and Humanitarian Applications,68_grading_readability_students_answer
